GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myartifactid,default,Usuario,12,29,0,0,3,12,2,6,2,6
myartifactid,default,GestorUsuarios,5,70,3,5,3,20,3,7,0,6
